,Order Id,AWB Number,Item Price(Per Qty.),Order Qty,Total weight as per X (KG),Weight (g),Weight slab as per X (KG),Total weight as per Courier Company (KG),Weight slab charged by Courier Company (KG),Zone,Delivery Zone charged by Courier Company,Expected Charge as per X (Rs.),Charges Billed by Courier Company (Rs.) ,Difference Between Expected Charges and Billed Charges (Rs.),correct values,undercharged,overcharged
98,2001807970,1091117327474,1247,2,0.765,765,1.0,4.13,4.5,B,D,61.3,403.8,-342.5,0,342.5,0.0
99,2001807329,1091117333100,1082,3,0.5,500,0.5,0.73,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
100,2001807613,1091117333251,1069,3,0.83,830,1.0,1.04,1.5,B,D,61.3,135.0,-73.7,0,73.7,0.0
101,2001808475,1091117436346,1082,3,0.5,500,0.5,0.7,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
102,2001808585,1091117436652,1082,3,0.5,500,0.5,0.72,1.0,E,B,56.6,61.3,-4.699999999999996,0,4.699999999999996,0.0
103,2001808679,1091117437035,1082,3,0.5,500,0.5,0.72,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
104,2001808739,1091117437293,1324,2,0.22,220,0.5,1.63,2.0,B,D,33.0,179.8,-146.8,0,146.8,0.0
105,2001808832,1091117437864,448,1,0.6,600,1.0,2.47,2.5,B,D,61.3,224.6,-163.3,0,163.3,0.0
106,2001808837,1091117437890,1082,3,0.5,500,0.5,0.67,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
107,2001808883,1091117438074,1082,3,0.5,500,0.5,0.72,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
108,2001808992,1091117611501,1082,3,0.5,500,0.5,0.72,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
109,2001809270,1091117613962,1082,3,0.5,500,0.5,0.68,1.0,B,D,33.0,95.2,-62.2,0,62.2,0.0
110,2001809934,1091117803511,1562,2,0.361,361,0.5,0.82,1.0,B,D,33.0,98.2,-65.2,0,65.2,0.0
111,2001810125,1091117804314,1082,3,0.5,500,0.5,0.66,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
112,2001810281,1091117805390,1082,3,0.5,500,0.5,0.68,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
113,2001810549,1091117806263,2260,5,0.986,849,1.0,1.86,2.0,B,D,61.3,191.8,-130.5,0,130.5,0.0
114,2001810697,1091117807140,1399,3,0.607,607,1.0,2.27,2.5,B,D,61.3,224.6,-163.3,0,163.3,0.0
115,2001811039,1091117904860,1795,3,0.488,488,0.5,0.68,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
116,2001811058,1091117905022,1082,3,0.5,500,0.5,0.72,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
117,2001811306,1091117958163,2250,4,0.945,945,1.0,1.1,1.5,B,D,61.3,135.0,-73.7,0,73.7,0.0
118,2001812195,1091118442390,1082,3,0.5,500,0.5,0.67,1.0,B,D,33.0,90.2,-57.2,0,57.2,0.0
119,2001812941,1091118551656,1082,3,0.5,500,0.5,0.73,1.0,B,D,33.0,95.2,-62.2,0,62.2,0.0
120,2001809383,1091117614452,1399,3,0.607,607,1.0,0.5,0.5,B,D,102.3,86.7,15.599999999999994,0,0.0,15.599999999999994
121,2001820978,1091120922803,1119,2,0.515,515,1.0,0.5,0.5,B,D,61.3,45.4,15.899999999999999,0,0.0,15.899999999999999
122,2001811475,1091121844806,2010,4,0.6890000000000001,689,1.0,0.5,0.5,E,B,112.1,47.0,65.1,0,0.0,65.1
123,2001811305,1091121846136,2246,4,0.75,750,1.0,0.5,0.5,B,D,61.3,65.4,-4.1000000000000085,0,4.1000000000000085,0.0
